Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Micromesistius,australis,-38.75,168.75,3316:488:4,0.01
Micromesistius,australis,-38.75,169.25,3316:489:3,0.01
Micromesistius,australis,-38.75,169.75,3316:489:4,0.01
Micromesistius,australis,-39.25,168.25,3316:498:1,0.01
Micromesistius,australis,-39.25,168.75,3316:498:2,0.01
Micromesistius,australis,-39.75,168.25,3316:498:3,0.01
Micromesistius,australis,-39.75,168.75,3316:498:4,0.01
Micromesistius,australis,-39.25,169.25,3316:499:1,0.01
Micromesistius,australis,-39.25,169.75,3316:499:2,0.01
Micromesistius,australis,-39.75,169.25,3316:499:3,0.02
Micromesistius,australis,-39.75,169.75,3316:499:4,0.01
Micromesistius,australis,-38.75,170.25,3317:380:3,0.01
Micromesistius,australis,-38.75,172.25,3317:382:3,0.01
Micromesistius,australis,-38.75,172.75,3317:382:4,0.02
Micromesistius,australis,-38.75,173.25,3317:383:3,0.01
Micromesistius,australis,-38.75,173.75,3317:383:4,0.01
Micromesistius,australis,-38.75,174.25,3317:384:3,0.01
Micromesistius,australis,-39.25,170.25,3317:390:1,0.01
Micromesistius,australis,-39.25,170.75,3317:390:2,0.01
Micromesistius,australis,-39.75,170.25,3317:390:3,0.01
Micromesistius,australis,-39.75,170.75,3317:390:4,0.01
Micromesistius,australis,-39.25,171.25,3317:391:1,0.01
Micromesistius,australis,-39.25,171.75,3317:391:2,0.02
Micromesistius,australis,-39.75,171.25,3317:391:3,0.02
Micromesistius,australis,-39.75,171.75,3317:391:4,0.04
Micromesistius,australis,-39.25,172.25,3317:392:1,0.04
Micromesistius,australis,-39.25,172.75,3317:392:2,0.05
Micromesistius,australis,-39.75,172.25,3317:392:3,0.06
Micromesistius,australis,-39.75,172.75,3317:392:4,0.08
Micromesistius,australis,-39.25,173.25,3317:393:1,0.03
Micromesistius,australis,-39.25,173.75,3317:393:2,0.02
Micromesistius,australis,-39.75,173.25,3317:393:3,0.05
Micromesistius,australis,-39.75,173.75,3317:393:4,0.03
Micromesistius,australis,-39.75,174.25,3317:394:3,0.03
Micromesistius,australis,-39.25,177.25,3317:497:1,0.01
Micromesistius,australis,-39.75,177.25,3317:497:3,0.02
Micromesistius,australis,-40.75,167.75,3416:207:4,0.01
Micromesistius,australis,-40.25,168.75,3416:208:2,0.01
Micromesistius,australis,-40.25,169.25,3416:209:1,0.01
Micromesistius,australis,-40.25,169.75,3416:209:2,0.01
Micromesistius,australis,-40.75,169.25,3416:209:3,0.01
Micromesistius,australis,-40.75,169.75,3416:209:4,0.01
Micromesistius,australis,-41.25,169.25,3416:219:1,0.01
Micromesistius,australis,-41.25,169.75,3416:219:2,0.02
Micromesistius,australis,-41.75,169.75,3416:219:4,0.02
Micromesistius,australis,-42.25,169.75,3416:229:2,0.05
Micromesistius,australis,-42.75,169.25,3416:229:3,0.07
Micromesistius,australis,-43.25,168.75,3416:238:2,0.02
Micromesistius,australis,-43.25,169.75,3416:239:2,0.17
Micromesistius,australis,-43.75,169.25,3416:239:3,0.18
Micromesistius,australis,-43.75,169.75,3416:239:4,0.14
Micromesistius,australis,-46.75,168.25,3416:468:3,0.04
Micromesistius,australis,-40.25,170.25,3417:100:1,0.01
Micromesistius,australis,-40.25,170.75,3417:100:2,0.03
Micromesistius,australis,-40.75,170.25,3417:100:3,0.03
Micromesistius,australis,-40.75,170.75,3417:100:4,0.06
Micromesistius,australis,-40.25,171.25,3417:101:1,0.04
