num;name;EEZ
1;AFWG-CODNEAR-1946-2011-CHING;8
2;DFO-COD2J3KL-1959-2014-WATSON;1
3;DFO-COD3Pn4RS-1964-2015-WATSON;1
4;DFO-COD3Ps-1980-2014-WATSON;2
5;DFO-COD4TVn-1965-2015-WATSON;1
6;DFO-COD4X5Yb-1948-2009-WATSON;2
7;DFO-COD5Zjm-1978-2010-WATSON;2
8;DFO-MAR-COD4VsW-1958-2002-PREFONTAINE;2
9;NAFO-SC-COD3M-1960-2012-CHING;0
10;NAFO-SC-COD3NO-1953-2011-CHING;1
11;NEFSC-CODGB-1976-2011-CHING;1
12;NEFSC-CODGOM-1981-2011-CHING;1
13;NWWG-CODFAPL-1959-2012-CHING;3
14;NWWG-CODICE-1952-2012-CHING;2
15;WGBFAS-CODBA2224-1965-2012-CHING;5
16;WGBFAS-CODBA2532-1966-2012-CHING;8
17;WGBFAS-CODIS-1968-2010-NEUBAUER;2
18;WGBFAS-CODKAT-1971-2012-CHING;3
19;WGBFAS-CODVIIek-1971-2012-CHING;4
20;WGCSE-CODVIa-1981-2012-CHING;2
21;WGNSSK-CODNS-1962-2011-NEUBAUER;8
